catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FW37305,Folkways Records,1980,Equilibrium: Songs of Nature and Humanity,David Laing,United States,Anglo-American,American Folk,Banjo,English,"Folk songs--United States; Folksong revival",http://www.folkways.si.edu/david-laing/equilibrium-songs-of-nature-and-humanity/american-folk/music/album/smithsonian,United States,-91.8675302132997,37.1728455929805
FW37311,Folkways Records,1979,"Sea Songs: Louis Killen, Stan Hugill and the X Seamen's Institute sing of Cape Horn sailing at the Seattle Chantey Festival","Louis Killen, Stan Hugill and the X-Seamen's Institute",United States,Welsh,"American Folk; Celtic",Concertina,English,"Folk music--United States; Folk songs--England; Folk songs--United States; Maritime; Music--British Isles; Sea songs",http://www.folkways.si.edu/sea-songs-louis-killen-stan-hugill-and-the-x-seamens-institute-sing-of-cape-horn-sailing-at-the-seattle-chantey-festival/american-folk-celtic/music/album/smithsonian,United States,-86.6635873550041,45.4299211646425
FW37587,Folkways Records,1979,Walls to Roses: Songs of Changing Men,Various Artists,United States,Anglo-American,"American Folk; Struggle &amp; Protest","Guitar; Vocals",,"Folksong revival; Protest songs",http://www.folkways.si.edu/walls-to-roses-songs-of-changing-men/american-folk-struggle-protest/music/album/smithsonian,United States,-111.032428408973,43.8861676108303
FW37312,Folkways Records,1980,"Sea Songs: Newport, Rhode Island- Songs from the Age of Sail","Stan Hugill,  X-Seamen's Insitute and David Jones",United States,Welsh,"Celtic; Historical Song",,English,"Folk songs--United States; Music--British Isles; Sea songs",http://www.folkways.si.edu/stan-hugill-x-seamens-insitute-and-david-jones/sea-songs-newport-rhode-island-songs-from-the-age-of-sail/celtic-historical-song/music/album/smithsonian,United States,-78.2758555708087,42.9331738546426
FW37315,Folkways Records,1980,Songs of the Sea: The National Maritime Museum Festival of the Sea,Various Artists,United States,,"American Folk; Celtic",,English,"Folk songs--United States; Sea songs",http://www.folkways.si.edu/songs-of-the-sea-the-national-maritime-museum-festival-of-the-sea/american-folk-celtic/music/album/smithsonian,United States,-123.059687451308,41.5622350195104
FW37321,Folkways Records,1980,By Land or by Sea,Morrigan,United States,Anglo-American,World,,English,"Folksong revival; Sea songs",http://www.folkways.si.edu/morrigan/by-land-or-by-sea/world/music/album/smithsonian,United States,-102.363189022551,44.2363293712379
FW37325,Folkways Records,1981,Favorite Sea Songs - Songs from the Age of Sail,The X-Seamen's Institute,United States,,American Folk,,English,"Folk songs--United States; Sea songs",http://www.folkways.si.edu/the-x-seamens-institute/favorite-sea-songs-songs-from-the-age-of-sail/american-folk/music/album/smithsonian,United States,-123.563125583255,42.4000349861405
FW37335,Folkways Records,1981,Australian Ballads: The Early Years,Seona McDowell,Australia,,"Historical Song; World",,English,"Folksong revival; World music",http://www.folkways.si.edu/seona-mcdowell/australian-ballads-the-early-years/historical-song-world/music/album/smithsonian,Australia,120.457314950717,-27.7672861921022
FW37350,Folkways Records,1982,Born of Another Time: Songs of the Sailors - Songs of the Sea,Tom Goux and Jacek Sulanowski,United States,,American Folk,"Banjo; Concertina; Dulcimer; Guitar; Harmonica; Harp; Recorder (Muscial instrument); Whistle; Zither",English,"Folk songs--United States; Sea songs",http://www.folkways.si.edu/tom-goux-and-jacek-sulanowski/born-of-another-time-songs-of-the-sailors-songs-of-the-sea/american-folk/music/album/smithsonian,United States,-82.4993349607522,32.1949674128983
FW37450,Folkways Records,1980,Henry Cowell's Complete Works for Violin and Piano,David Sackson and Dwight Peltzer,United States,,Classical,"Piano; Violin",English,Contemporary music,http://www.folkways.si.edu/david-sackson-and-dwight-peltzer/henry-cowells-complete-works-for-violin-and-piano/classical/music/album/smithsonian,United States,-74.3740951063311,40.6939079453924
FW37455,Folkways Records,1981,West Meets East: Chinese and Balinese Music,Northern Illinois University. Chinese Orchestra,"China; Indonesia; United States",,World,"Angklung; Chinese Orchestra; Erhu; Gao hu; Pang-Ti; Yang qin",,World music,http://www.folkways.si.edu/northern-illinois-university-chinese-orchestra/west-meets-east-chinese-and-balinese-music/world/album/smithsonian,China,107.039519888795,40.4199565989931
FW37458,Folkways Records,1984,Border Crossings: New Directions in Tex-Mex Music,Ben Tavera King,United States,Hispanic,"Latin; World","Accordion; Guitar; Harp; Vocals",,"Conjunto music; Corridos; Tejano music",http://www.folkways.si.edu/ben-tavera-king/border-crossings-new-directions-in-tex-mex-music/latin-world/album/smithsonian,United States,-102.509304083374,37.9815886850465
FW37461,Folkways Records,1982,Four Fantasies for Synclavier,Jon Appleton,United States,,"Contemporary &amp; Electronic",Synclavier,,Contemporary music,http://www.folkways.si.edu/jon-appleton/four-fantasies-for-synclavier/contemporary-electronic/music/album/smithsonian,United States,-93.3495687381331,43.8811132701383
FW37462,Folkways Records,1981,A Different View,Bertram Turetzky,United States,,"Contemporary &amp; Electronic",Double bass,,"Contemporary music; New Age music",http://www.folkways.si.edu/bertram-turetzky/a-different-view/contemporary-electronic/music/album/smithsonian,United States,-116.641540336845,36.580406394066
FW37463,Folkways Records,,Seven Flute Solos,Charles Compo,United States,,"Contemporary &amp; Electronic",Flute,,Contemporary music,http://www.folkways.si.edu/charles-compo/seven-flute-solos/contemporary-electronic/music/album/smithsonian,United States,-77.9152792858594,38.4058397947479
FW37465,Folkways Records,1983,Computer Music from the Outside In,Various Artists,United States,,"Contemporary &amp; Electronic",,,Contemporary music,http://www.folkways.si.edu/computer-music-from-the-outside-in/electronic/album/smithsonian,United States,-89.8511174351278,31.4644560972845
FW37466,Folkways Records,1985,Israeli Vocal and Instrumental Music,Various Artists,Israel,Jewish,Judaica,,"English; Hebrew (modern); Ladino","Jewish; World music",http://www.folkways.si.edu/israeli-vocal-and-instrumental-music/judaica/music/album/smithsonian,Israel,35.0242079145473,29.8705226308491
FW37467,Folkways Records,1986,Otashgah: Place of Fire,Dariush Dolat-Shahi,"Iran; United States",,"Central Asia; Contemporary &amp; Electronic; Islamica",,,Contemporary music,http://www.folkways.si.edu/dariush-dolat-shahi/otashgah-place-of-fire/central-asia-contemporary-electronic-islamica/music/album/smithsonian,Iran,49.3124744133335,37.06574747879
FW37470,Folkways Records,1982,Two Melodramas for Synclavier,Jon Appleton,United States,,"Children's; Contemporary &amp; Electronic",Synclavier,,"Contemporary music; Music--Juvenile",http://www.folkways.si.edu/jon-appleton/two-melodramas-for-synclavier/childrens-contemporary-electronic/music/album/smithsonian,United States,-78.7002900342986,36.6109485153897
FW37475,Folkways Records,1983,Computer Music,Various Artists,United States,,"Contemporary &amp; Electronic",Computers,,Contemporary music,http://www.folkways.si.edu/computer-music/contemporary-electronic/music/album/smithsonian,United States,-86.0538417302132,31.3221492244396
FW37476,Folkways Records,1983,Voicings for Tape/Soprano/Piano,Sorrel Hays,United States,,"Contemporary &amp; Electronic",Piano,,Contemporary music,http://www.folkways.si.edu/sorrel-hays/voicings-for-tape/soprano/piano/contemporary-electronic/music/album/smithsonian,United States,-108.302030633623,45.7748196357065
FW37560,Folkways Records,1981,"First Blues: Rags, Ballads and Harmonium Songs",Allen Ginsberg,United States,,"American Folk; Poetry","Harmonium; Reed organ; Reed organ, Benares; Vocals",English,"Blues; Folk songs--United States; Folksong revival; Protest songs; Topical songs",http://www.folkways.si.edu/allen-ginsberg/first-blues-rags-ballads-and-harmonium-songs/american-folk-poetry/album/smithsonian,United States,-75.5272346302338,42.9253068243904
FW37582,Folkways Records,1980,Please Tip Your Waitress,Willie Sordill,United States,Anglo-American,American Folk,"Guitar; Vocals",English,"Folk songs--United States; Protest songs",http://www.folkways.si.edu/willie-sordill/please-tip-your-waitress/american-folk/music/album/smithsonian,United States,-160.315513856937,68.0156023537813
FW37585,Folkways Records,1983,Silent Highways,Willie Sordill,United States,Anglo-American,American Folk,Guitar,English,"Folksong revival; Topical songs",http://www.folkways.si.edu/willie-sordill/silent-highways/american-folk/music/album/smithsonian,United States,-92.9497760149105,31.3800755325413
FWRBF40,Folkways Records,1979,Those Ragtime Banjos,Various Artists,United States,,"Jazz &amp; Ragtime","Banjo; Piano; Saxophone",,Ragtime,http://www.folkways.si.edu/those-ragtime-banjos/jazz/music/album/smithsonian,United States,-119.913619302167,44.3842478055918
FW37705,Folkways Records,1982,Songs of Freedom from Turkey: Behind the Iron Bars,Melike Demirag,Turkey,,"Islamica; Struggle &amp; Protest; World",,,"Protest songs; World music",http://www.folkways.si.edu/melike-demirag/songs-of-freedom-from-turkey-behind-the-iron-bars/islamica-struggle-protest-world/music/album/smithsonian,Turkey,35.4816280864545,40.2810977824679
FW37902,Folkways Records,1983,Invocations,Richard Kostelanetz,United States,,"Contemporary &amp; Electronic",Tape recorder music,,Contemporary music,http://www.folkways.si.edu/richard-kostelanetz/invocations/contemporary-electronic/music/album/smithsonian,United States,-113.559746457544,39.9047069596736
FW38516,Folkways Records,1984,Bottom Line: A Comedy Revue with Music on Reagonomics,"Labor Theater (New York, N.Y.)",United States,Anglo-American,"Humor; Soundtracks &amp; Musicals; Struggle &amp; Protest",,English,"Motion picture soundtracks; Protest songs; Theater",http://www.folkways.si.edu/labor-theater-new-york-ny/bottom-line-a-comedy-revue-with-music-on-reagonomics/humor-soundtracks-musicals-struggle-protest/album/smithsonian,United States,-115.308777232954,37.8357441130544
FW38550,Folkways Records,1981,"Leave Her Johnny, Leave Her: The Stories and Shanties of Hjalmar Rutzebeck","Hjamar Rutzebeck, Clark Branson and Morrigan",United States,,American Folk,Concertina,English,"Folksong revival; Sea songs",http://www.folkways.si.edu/leave-her-johnny-leave-her-the-stories-and-shanties-of-hjalmar-rutzebeck/american-folk/music/album/smithsonian,United States,-69.2870617338538,46.2790955644603
FW38553,Folkways Records,1981,An English Folk Music Anthology,Various Artists,United Kingdom,,"Celtic; World",Vocals,English,"Folksong revival; Music--British Isles; Music--Juvenile",http://www.folkways.si.edu/an-english-folk-music-anthology/celtic-world/album/smithsonian,United Kingdom,-2.70668841406153,52.5799573055657
FW77064,Folkways Records,1980,The Four Musicians of Bremen and The Golden Treasure,Louis F. Simon,United States,,Children's,,English,"Music--Juvenile; Spoken word; Storytelling",http://www.folkways.si.edu/louis-f-simon/the-four-musicians-of-bremen-and-the-golden-treasure/childrens/music/album/smithsonian,United States,-157.12004553499,63.8657833833673
SFW40154,Smithsonian Folkways Recordings,2007,"American Favorite Ballads, Vol. 5",Pete Seeger,,,American Folk,,,,http://www.folkways.si.edu/pete-seeger/american-favorite-ballads-vol-5/folk/music/album/smithsonian,,,
SFW40155,Smithsonian Folkways Recordings,2009,"American Favorite Ballads, Vols. 1-5",Pete Seeger,,,American Folk,,,,http://www.folkways.si.edu/pete-seeger/american-favorite-ballads-vols-1-5/folk/music/album/smithsonian,,,
FW77855,Folkways Records,1979,Children's Songs for Games from Africa: With Kojo Fosu and Edwina Hunter,Kojo Fosu and Edwina Hunter,Ghana,,Children's,,,"Games; Music--Juvenile; World music",http://www.folkways.si.edu/kojo-fosu-and-edwina-hunter/childrens-songs-for-games-from-africa/music/album/smithsonian,Ghana,-0.711653119381361,10.0107261371107
SFW40157,Smithsonian Folkways Recordings,2007,Early Southern Guitar Styles,Mike Seeger,,,American Folk,Guitar,,,http://www.folkways.si.edu/mike-seeger/early-southern-guitar-styles/american-folk/music/album/smithsonian,,,
FW77860,Folkways Records,1979,"Songs, Tales, Ditties and Dances (from Louisiana)",Gérard Dôle,United States,Cajun,"Cajun; Children's",,,"Cajun music; Music--Juvenile",http://www.folkways.si.edu/gerard-dole/songs-tales-ditties-and-dances-from-louisiana/cajun-childrens/music/album/smithsonian,United States,-93.7106731389626,33.7478520398745
FW77861,Folkways Records,1983,It's Story Telling Time,Linda Goss,United States,African American,"African American Spoken; Children's",,English,"Music--Juvenile; Storytelling",http://www.folkways.si.edu/linda-goss/its-story-telling-time/african-american-spoken-childrens/music/album/smithsonian,United States,-150.207844681054,66.7220392379198
FW77865,Folkways Records,1980,Afro-American Tales and Games,Linda Goss,United States,African American,"African American Spoken; Children's",,English,"Instructional; Music--Juvenile; Spoken word; Storytelling",http://www.folkways.si.edu/linda-goss/afro-american-tales-and-games/african-american-spoken-childrens/music/album/smithsonian,United States,-88.4810699835727,46.6057879164372
FW77870,Folkways Records,1980,Songs of Work and Play,Trudie Richman,United States,,Children's,"Guitar; Vocals",English,Music--Juvenile,http://www.folkways.si.edu/trudie-richman/songs-of-work-and-play/childrens/music/album/smithsonian,United States,-86.2486546430719,31.8490058646075
FWASCH101,Folkways Records,1967,The Blues - Music from the Documentary Film: By Sam Charters,Various Artists,United States,African American,"Blues; Soundtracks &amp; Musicals","Drum; Guitar; Harmonica; Jug",English,"Ballads; Blues; Jug band music; Medicine shows; Old-time music; String band",http://www.folkways.si.edu/the-blues-music-from-the-documentary-film-by-sam-charters/soundtracks-musicals/album/smithsonian,United States,-102.019757666238,33.9007346342544
SFW40141,Smithsonian Folkways Recordings,2005,In Sacred Trust: The 1963 Fleming Brown Tapes,Hobart Smith,United States,American,"American Folk; Old Time",,English,,http://www.folkways.si.edu/hobart-smith/in-sacred-trust-the-1963-fleming-brown-tapes/american-folk-old-time/music/album/smithsonian,United States,-80.9364758687945,26.942284160334
FWCRB14,Folkways Records,1975,Mama-Likembi Instruction Record (thumb piano),Nadi Qamar,United States,African American,"Islamica; Music Instruction","Likembe; Mbira",,"Instructional; Spoken word; World music",http://www.folkways.si.edu/nadi-qamar/mama-likembi-instruction-record-thumb-piano/islamica-music-instruction/album/smithsonian,United States,-79.888713967035,34.155124063685
SFW40169,Smithsonian Folkways Recordings,2008,Territory,Tony Trischka,,,Bluegrass,Banjo,,,http://www.folkways.si.edu/tony-trischka/territory/bluegrass/music/album/smithsonian,,,
SFW40176,Smithsonian Folkways Recordings,2007,On the Right Road Now,The Paschall Brothers,,,"African American Music; Gospel; Sacred",,,,http://www.folkways.si.edu/the-paschall-brothers/on-the-right-road-now/african-american-music-gospel-sacred/album/smithsonian,,,
SFW40177,Smithsonian Folkways Recordings,2008,From Now On,Michael Doucet,,,Cajun,Fiddle,,,http://www.folkways.si.edu/michael-doucet/from-now-on/cajun/music/album/smithsonian,,,
SFW40179,Smithsonian Folkways Recordings,2008,Richmond Blues,Cephas and Wiggins,,,"African American Music; American Folk; Blues",,,,http://www.folkways.si.edu/cephas-and-wiggins/richmond-blues/african-american-music-folk/music/album/smithsonian,,,
SFW40180,Smithsonian Folkways Recordings,2009,50 Years: Where Do You Come From? Where Do You Go?,The New Lost City Ramblers,,,"American Folk; Old Time",,,,http://www.folkways.si.edu/the-new-lost-city-ramblers/50-years-where-do-you-come-from-where-do-you-go/american-folk-old-time/music/album/smithsonian,,,
SFW40181,Smithsonian Folkways Recordings,2010,Rappahannock Blues,John Jackson,,,"African American Music; American Folk; Blues",,,,http://www.folkways.si.edu/john-jackson/rappahannock-blues/african-american-music-folk/music/album/smithsonian,,,
SFW40183,Smithsonian Folkways Recordings,2010,Classic Sounds of New Orleans from Smithsonian Folkways,Various Artists,,,"African American Music; Blues; Gospel; Jazz &amp; Ragtime",,,,http://www.folkways.si.edu/classic-sounds-of-new-orleans-from-smithsonian-folkways/african-american-music-blues-gospel-jazz-ragtime/music/album/smithsonian,,,
SFW40184,Smithsonian Folkways Recordings,2012,"The Complete Bowdoin College Concert, 1960",Pete Seeger,,,American Folk,,,,http://www.folkways.si.edu/pete-seeger/the-complete-bowdoin-college-concert-1960/american-folk/music/album/smithsonian,,,
SFW40187,Smithsonian Folkways Recordings,2011,A Treasury of Civil War Songs Sung by Tom Glazer,Tom Glazer,,,"American Folk; American History; Historical Song",,,,http://www.folkways.si.edu/tom-glazer/a-treasury-of-civil-war-songs-sung/american-folk-american-history-historical/music/album/smithsonian,,,
SFW40189,Smithsonian Folkways Recordings,2011,Civil War Naval Songs,"Dan Milner, David Coffin, Jeff Davis",,,"American Folk; American History; Historical Song",,,,http://www.folkways.si.edu/dan-milner-david-coffin-jeff-davis/civil-war-naval-songs/american-folk-american-history-historical/music/album/smithsonian,,,
FWCRB15,Folkways Records,1979,Likembi Song Book,Nadi Qamar,United States,African American,"Islamica; Music Instruction",Likembe,,"Instructional; Spoken word; World music",http://www.folkways.si.edu/nadi-qamar/likembi-song-book/islamica-music-instruction/album/smithsonian,United States,-91.6122947090765,34.1495369637426
FWCRB20,Folkways Records,1979,Dulcimer Instruction Album,Kevin Roth,United States,Anglo-American,Music Instruction,Dulcimer,English,"Folk songs--United States; Folksong revival; Instructional; Spoken word",http://www.folkways.si.edu/kevin-roth/dulcimer-instruction-album/music-instruction/album/smithsonian,United States,-144.988806010408,62.0793972344898
FWFF302,Folkways Records,1978,This Is Your Year: Children Songs by Ella Jenkins,Various Artists,United States,African American,"American Folk; Children's",Vocals,English,Music--Juvenile,http://www.folkways.si.edu/this-is-your-year-children-songs-by-ella-jenkins/american-folk/music/album/smithsonian,United States,-110.634898348894,40.4507211078645
SFW40194,Smithsonian Folkways Recordings,2008,Classic African American Gospel from Smithsonian Folkways,Various Artists,,,"African American Music; Gospel; Sacred",,,,http://www.folkways.si.edu/classic-african-american-gospel-from-folkways/music-sacred/music/album/smithsonian,,,
FWFF869,Folkways Records,,Earth is Earth / The New Lost City Ramblers,The New Lost City Bang Boys / The New Lost City Ramblers,United States,,"American Folk; Old Time",,English,"Folksong revival; String band",http://www.folkways.si.edu/the-new-lost-city-bang-boys/earth-is-earth/american-folk-old-time/music/album/smithsonian,United States,-106.591000529722,34.2118564422673
SFW40196,Smithsonian Folkways Recordings,2008,Classic Piano Blues from Smithsonian Folkways,Various Artists,,,"African American Music; Blues",,,,http://www.folkways.si.edu/classic-piano-blues-from-folkways/african-american-music/album/smithsonian,,,
SFW40197,Smithsonian Folkways Recordings,2009,Classic Protest Songs from Smithsonian Folkways,Various Artists,,,"African American Music; American Folk; Struggle &amp; Protest",,,,http://www.folkways.si.edu/classic-protest-songs-from-folkways/african-american-music-folk-struggle-protest/album/smithsonian,,,
SFW40198,Smithsonian Folkways Recordings,2010,Classic Appalachian Blues from Smithsonian Folkways,Various Artists,,,"African American Music; American Folk; Blues",,,,http://www.folkways.si.edu/classic-appalachian-blues-from-folkways/african-american-music-folk/music/album/smithsonian,,,
SFW40200,Smithsonian Folkways Recordings,2012,Woody at 100: The Woody Guthrie Centennial Collection,Woody Guthrie,,,American Folk,,,,http://www.folkways.si.edu/woody-guthrie/100-the-centennial-collection/american-folk/music/album/smithsonian,,,
SFW40202,Smithsonian Folkways Recordings,2010,Rising Sun Melodies,Ola Belle Reed,,,"American Folk; Bluegrass; Old Time",,,,http://www.folkways.si.edu/ola-belle-reed/rising-sun-melodies/american-folk-bluegrass-old-time/music/album/smithsonian,,,
SFW40206,Smithsonian Folkways Recordings,2012,Old Man Below,The Dust Busters with John Cohen,,,"American Folk; Country; Old Time",,,,http://www.folkways.si.edu/dust-brothers-john-cohen/old-man-below/old-time-american-folk/music/album/smithsonian,,,
SFW40208,Smithsonian Folkways Recordings,2012,Banjo Diary: Lessons from Tradition,Stephen Wade,,,"American Folk; Bluegrass; Old Time",,,,http://www.folkways.si.edu/stephen-wade/banjo-diary-lessons-from-tradition/american-folk-old-time-bluegrass/music/album/smithsonian,,,
FWRBF10,Folkways Records,1965,"Blind Willie Johnson, 1927-1930",Blind Willie Johnson,United States,African American,Blues,Guitar,English,"Blues; Gospel music; Religious",http://www.folkways.si.edu/blind-willie-johnson/1927-1930/blues/music/album/smithsonian,United States,-93.5337451504454,33.6026025284482
FWRBF11,Folkways Records,1966,Blues Rediscoveries,Various Artists,United States,African American,Blues,Guitar,English,Blues,http://www.folkways.si.edu/blues-rediscoveries/music/album/smithsonian,United States,-153.424039717559,63.5287913935451
FWRBF12,Folkways Records,1966,Piano Blues,Various Artists,United States,African American,Blues,Piano,,"Blues; Boogie woogie (Music)",http://www.folkways.si.edu/piano-blues/music/album/smithsonian,United States,-68.1526901613814,44.9249424663089
FWRBF14,Folkways Records,1966,Blues Roots/Mississippi,Various Artists,United States,African American,Blues,"Guitar; Harmonica; Mandolin; Piano; Tambourine (Drum)",English,Blues,http://www.folkways.si.edu/blues-roots/mississippi/music/album/smithsonian,United States,-104.835194267623,35.1857859549569
FWRBF15,Folkways Records,1966,The Atlanta Blues,Various Artists,United States,African American,Blues,Guitar,English,Blues,http://www.folkways.si.edu/the-atlanta-blues/music/album/smithsonian,United States,-156.00432388805,19.7153368174222
FWRBF16,Folkways Records,1967,Blues Roots/Chicago - The 1930's,Various Artists,United States,African American,Blues,"Bass; Drum; Guitar; Harmonica; Piano; Washboard band music",English,Blues,http://www.folkways.si.edu/blues-roots/chicago-the-1930s/music/album/smithsonian,United States,-98.1723092856805,46.5197829767225
FWRBF17,Folkways Records,1971,"Ragtime #1: The City - Banjos, Brass Bands, & Nickel Pianos",Various Artists,United States,"African American; Anglo-American","Jazz &amp; Ragtime","Banjo; Cimbalom; Cornet; Dulcimer; Guitar; Mandolin; Piano; Piano-roll music; Trombone; Washboard band music",,"Jazz; Ragtime",http://www.folkways.si.edu/ragtime-no-1-the-city-banjos-brass-bands-nickel-pianos/jazz/music/album/smithsonian,United States,-123.709060604574,47.145808907562
SFW40167,Smithsonian Folkways Recordings,2005,Songs and Stories from Grand Canyon,Various Artists,United States,"American; Havasupai; Hopi; Navajo; Zuni","American Folk; American Indian; Science &amp; Nature",,,,http://www.folkways.si.edu/songs-and-stories-from-grand-canyon/american-folk-indian-science-nature/album/smithsonian,United States,-141.331120101199,63.6811387141623
FWRBF18,Folkways Records,1971,"Ragtime #2: The Country- Mandolins, Fiddles, and Guitars",Various Artists,United States,"African American; Anglo-American","Jazz &amp; Ragtime; Old Time","Banjo; Fiddle; Guitar; Harmonica; Hawaiian guitar; Mandolin; Piano; Washboard band music",,"Blues; Music--Appalachian Region, Southern.; Novelty songs; Ragtime; String band",http://www.folkways.si.edu/ragtime-no-2-the-country-mandolins-fiddles-and-guitars/jazz-old-time/music/album/smithsonian,United States,-119.607596320733,46.2720197755619
FWRBF19,Folkways Records,1971,Country Gospel Song,Various Artists,United States,"African American; Anglo-American","American Folk; Old Time; Sacred","Banjo; Bells; Guitar; Mandolin; Piano",English,"Blues; Gospel music; Religious",http://www.folkways.si.edu/country-gospel-song/american-folk-old-time-sacred/music/album/smithsonian,United States,-99.7476659532115,43.5541931716991
FWRBF20,Folkways Records,1966,Roots: Rhythm and Blues,Various Artists,United States,African American,"African American Music; Blues",,English,"Rhythm and blues music; Rock music",http://www.folkways.si.edu/roots-rhythm-and-blues/african-american-music/album/smithsonian,United States,-154.663637712332,63.974461290245
FWRBF203,Folkways Records,1964,New Orleans Jazz: The Twenties,Various Artists,United States,,"Jazz &amp; Ragtime","Banjo; Bass; Clarinet; Cornet; Drum; Guitar; Harmonica; Penny whistle; Piano; Saxophone; Trombone; Trumpet; Tuba; Violin",English,New Orleans jazz,http://www.folkways.si.edu/new-orleans-jazz-the-twenties/ragtime/music/album/smithsonian,United States,-91.2122789369121,33.2939344450495
FWRBF21,Folkways Records,1971,"The Cajuns: Songs, Waltzes, and Two-Steps",Various Artists,United States,Cajun,Cajun,"Accordion; Banjo; Concertina; Fiddle; Guitar; Harmonica; Mandolin",,Cajun music,http://www.folkways.si.edu/the-cajuns-songs-waltzes-and-two-steps/music/album/smithsonian,United States,-71.9407628469532,42.4443120574203
FWRBF22,Folkways Records,1973,Ragtime Entertainment (Original Recordings),Various Artists,United States,African American,"Jazz &amp; Ragtime","Barrel organ; Drum; Mandolin; Piano; Piccolo; Saxophone; Trumpet",,"Jazz; Ragtime",http://www.folkways.si.edu/ragtime-entertainment-original-recordings/jazz/music/album/smithsonian,United States,-117.136241718426,34.2058181948683
FWRBF25,Folkways Records,1974,Toe Tappin' Ragtime,Various Artists,United States,,"Jazz &amp; Ragtime","Banjo; Piano",,"Novelty songs; Ragtime",http://www.folkways.si.edu/toe-tappin-ragtime/jazz/music/album/smithsonian,United States,-96.2412735744281,39.1860554025418
FWRBF26,Folkways Records,1975,The Original Memphis Five,Original Memphis Five,United States,,"Jazz &amp; Ragtime","Banjo; Clarinet; Drum; Piano; Trombone; Trumpet",English,"Blues; Dance; Jazz",http://www.folkways.si.edu/the-original-memphis-five/jazz-ragtime/music/album/smithsonian,United States,-97.4154997251955,42.7156167334236
FWRBF27,Folkways Records,1976,The Dancing Twenties,Various Artists,United States,,"Jazz &amp; Ragtime",Piano,,"Jazz; Ragtime",http://www.folkways.si.edu/the-dancing-twenties/jazz-ragtime/music/album/smithsonian,United States,-112.998728191263,39.2705272953498
FWRBF35,Folkways Records,1978,Roy Bargy: Piano Syncopations,Roy Bargy,United States,,"Jazz &amp; Ragtime","Piano; Piano-roll music",,"Jazz; Piano-roll music; Ragtime",http://www.folkways.si.edu/roy-bargy/piano-syncopations/jazz-ragtime/music/album/smithsonian,United States,-68.3988583427034,46.1858560065532
FWRBF37,Folkways Records,1978,"Early Syncopated Dance Music - Cakewalks, Two-Steps, Trots and Glides",Various Artists,United States,,"Jazz &amp; Ragtime","Piano; Trombone",,"Cakewalk (Dance); Foxtrot (Dance); Instructional; Popular music--United States; Ragtime; Social dancing; Two-Step",http://www.folkways.si.edu/early-syncopated-dance-music-cakewalks-two-steps-trots-and-glides/jazz-ragtime/album/smithsonian,United States,-94.3492977671018,30.3052765038218
FWRBF38,Folkways Records,1979,Early Band Ragtime,Various Artists,United States,,"Jazz &amp; Ragtime",Violin,,"Brass band music; Jazz; Ragtime",http://www.folkways.si.edu/early-band-ragtime/jazz/music/album/smithsonian,United States,-113.217509363279,36.8777710853539
FWRBF39,Folkways Records,1979,Late Band Ragtime,Various Artists,United States,,"Jazz &amp; Ragtime","Banjo; Bass; Clarinet; Cornet; Drum; Piano; Saxophone; Trombone; Trumpet; Tuba",,"Dixieland music; Jazz; Ragtime",http://www.folkways.si.edu/late-band-ragtime/jazz/music/album/smithsonian,United States,-102.764197679242,31.7090129534337
FWRBF41,Folkways Records,1980,Novelty Ragtime Piano Kings,Rube Bloom and Arthur Schutt,United States,,"Jazz &amp; Ragtime",Piano,,"Jazz; Novelty songs; Ragtime",http://www.folkways.si.edu/rube-bloom-and-arthur-schutt/novelty-ragtime-piano-kings/jazz/music/album/smithsonian,United States,-86.5645996349444,36.2088953985594
FWRBF42,Folkways Records,1981,Ragtime Piano Novelties of the 20's,Various Artists,United States,,"Jazz &amp; Ragtime",Piano,,"Jazz; Novelty songs; Ragtime",http://www.folkways.si.edu/ragtime-piano-novelties-of-the-20s/jazz/music/album/smithsonian,United States,-154.586971723479,61.3559181554442
FWRBF43,Folkways Records,1981,Piano Roll Artistry of Max Kortlander,Max Kortlander,United States,,"American Popular; Jazz &amp; Ragtime",Piano,,"Jazz; Piano-roll music",http://www.folkways.si.edu/max-kortlander/piano-roll-artistry-of/american-popular-jazz-ragtime/music/album/smithsonian,United States,-92.1289772471345,42.4512807476232
FWRBF44,Folkways Records,,Piano Roll Artistry of Charley Straight,Charley Straight,United States,,"American Popular; Jazz &amp; Ragtime","Piano; Piano-roll music",,"Jazz; Piano-roll music; Ragtime",http://www.folkways.si.edu/charley-straight/piano-roll-artistry-of/american-popular-jazz-ragtime/music/album/smithsonian,United States,-148.155927279061,63.0747575940722
FWRBF45,Folkways Records,1982,The Piano Roll Artistry of Zez Confrey,Zez Confrey,United States,,"Jazz &amp; Ragtime",Piano,,"Jazz; Piano-roll music; Ragtime",http://www.folkways.si.edu/zez-confrey/piano-roll-artistry/jazz-ragtime/music/album/smithsonian,United States,-91.2123517862302,43.3911527530873
